"Accuracy","Regret","Approach","Scenario","Data"
0.459644444444444,43.7733741900634,"G-Estimation","linear interactions","train"
0.461866666666667,43.8895646757417,"G-Estimation","linear interactions","train"
0.490844444444444,44.1188712532424,"G-Estimation","linear interactions","train"
0.463555555555556,44.156197363762,"G-Estimation","linear interactions","train"
0.423022222222222,47.7230128543069,"G-Estimation","linear interactions","train"
0.508177777777778,41.6378203021361,"G-Estimation","linear interactions","train"
0.508711111111111,37.6890923788083,"G-Estimation","linear interactions","train"
0.501244444444444,42.9317742394714,"G-Estimation","linear interactions","train"
0.416088888888889,48.4194668940867,"G-Estimation","linear interactions","train"
0.440444444444444,46.8798519366341,"G-Estimation","linear interactions","train"
0.433866666666667,46.7758988966149,"G-Estimation","linear interactions","train"
0.447644444444444,45.2462268982494,"G-Estimation","linear interactions","train"
0.468355555555556,45.2023343411852,"G-Estimation","linear interactions","train"
0.511733333333333,42.8859902551342,"G-Estimation","linear interactions","train"
0.535111111111111,39.4030828261935,"G-Estimation","linear interactions","train"
0.514577777777778,39.0927536462373,"G-Estimation","linear interactions","train"
0.486044444444444,40.5550602455985,"G-Estimation","linear interactions","train"
0.424444444444444,48.5660182668436,"G-Estimation","linear interactions","train"
0.4544,45.7064380519293,"G-Estimation","linear interactions","train"
0.464088888888889,45.4475171002404,"G-Estimation","linear interactions","train"
0.552444444444444,36.3361359460428,"G-Estimation","linear interactions","train"
0.452088888888889,44.548480491357,"G-Estimation","linear interactions","train"
0.498222222222222,42.1016595084783,"G-Estimation","linear interactions","train"
